1,NITRO 5 AN517-41 NH.QAREY.001,ACER,acer-nitro-5-an517-41-nhqarey001-r7-5800h-16gb-512gb-freedos-173inc,17.3,16GB,R7 5800H,512GB,FREEDOS,https://cdn.dsmcdn.com/ty184/product/media/images/20211001/17/138444894/252192378/0/0_org_zoom.jpg
2,MACBOOK AIR MLY33TU/A,APPLE,apple-macbook-air-mly33tua-m2-0-8gb-256gb-macos-136inc,13.6,8GB,M2,256GB,MACOS,https://cdn.dsmcdn.com/ty541/product/media/images/20220928/18/180895981/581885669/1/1_org_zoom.jpg
3,MACBOOK AIR MGN63TU/A,APPLE,apple-macbook-air-mgn63tua-m1-0-8gb-256gb-macos-133inc,13.3,8GB,M1,256GB,MACOS,https://cdn.dsmcdn.com/ty454/product/media/images/20220614/15/125590297/117920493/1/1_org_zoom.jpg
4,MACBOOK PRO MKGR3TU/A,APPLE,apple-macbook-pro-mkgr3tua-m1-0-16gb-512gb-macos-14inc,14,16GB,M1,512GB,MACOS,https://cdn.dsmcdn.com/ty455/product/media/images/20220614/9/125455730/292483852/1/1_org_zoom.jpg
5,MACBOOK PRO MK1E3TU/A,APPLE,apple-macbook-pro-mk1e3tua-m1-0-16gb-512gb-macos-16inc,16,16GB,M1,512GB,MACOS,https://cdn.dsmcdn.com/ty360/product/media/images/20220315/17/70305207/292549823/1/1_org_zoom.jpg
6,MACBOOK PRO MK183TU/A,APPLE,apple-macbook-pro-mk183tua-m1-0-16gb-512gb-macos-16inc,16,16GB,M1,512GB,MACOS,https://cdn.dsmcdn.com/ty225/product/media/images/20211106/18/168186710/292523675/1/1_org_zoom.jpg
7,MACBOOK AIR MLXW3TU/A,APPLE,apple-macbook-air-mlxw3tua-m2-0-8gb-256gb-macos-136inc,13.6,8GB,M2,256GB,MACOS,https://cdn.dsmcdn.com/ty526/product/media/images/20220909/10/171173304/534491537/1/1_org_zoom.jpg
8,SPECTRE X360 14-EA0007NT 4H1T0EA,HP,hp-spectre-x360-14-ea0007nt-4h1t0ea-i7-1165g7-16gb-1tb-w10-135inc,13.5,16GB,I7 1165G7,1TB,W10,https://cdn.dsmcdn.com/ty174/product/media/images/20210915/17/130206497/242423403/1/1_org_zoom.jpg
9,MATEBOOK D16,HUAWEI,huawei-matebook-d16-i5-12450h-8gb-512gb-w11-16inc,16,8GB,I5 12450H,512GB,W11,https://cdn.dsmcdn.com/ty548/product/media/images/20221001/15/183136719/585077931/1/1_org_zoom.jpg
10,MATEBOOK D15 53012TTB,HUAWEI,huawei-matebook-d15-53012ttb-i5-1135g7-8gb-512gb-w11-156inc,15.6,8GB,I5 1135G7,512GB,W11,https://cdn.dsmcdn.com/ty520/product/media/images/20220831/16/167388548/555831617/1/1_org_zoom.jpg
11,EXTENSA EX215-54G NX.EGHEY.003,ACER,acer-extensa-ex215-54g-nxeghey003-i5-1135g7-8gb-512gb-freedos-156inc,15.6,8GB,I5 1135G7,512GB,FREEDOS,https://productimages.hepsiburada.net/s/286/1500/110000274844135.jpg
12,EXTENSA EX215-54 NX.EGJEY.005,ACER,acer-extensa-ex215-54-nxegjey005-i5-1135g7-8gb-512gb-freedos-156inc,15.6,8GB,I5 1135G7,512GB,FREEDOS,https://cdn.dsmcdn.com/ty536/product/media/images/20220920/12/177391340/548065962/1/1_org_zoom.jpg
